
  성경색인                 [ ] 속은 천주교에서 부르는 이름,      ( )은 외경 이름
  ===========================================================================================================================================    O
  모세오경     역사서            시 지혜서     예언서                사복음서        사도행전     서간                    예언서[묵시록]         O
  -------------------------------------------------------------------------------------------------------------------------------------------    O
  창세기       여호수아          욥            이사야                마태[오]        사도행전     로마서                  요한 계시록[묵시록]    O
  출애굽기     (판관기)          시편          예레미아              마가[마르꼬]       O         고린도 전서                 O                  O
  레위기       롯기              잠언          예레미아 애가         누가[루까]         O         고린도 후서                 O                  O
  민수기       사무엘 상         전도서        (바룩)                요한               O         갈라디아서                  O                  O
  신명기       사무엘 하         아가          에스겔[에제키엘]          O              O         에베[페]소서                O                  O
    O          열왕기 상         (지혜서)      다니엘                    O              O         빌[필]립보서                O                  O
    O          열왕기 하         (집회서)      호세아                    O              O         골로새[사이]서              O                  O
    O          역대기 상            O          요엘                      O              O         데살로니가[까] 전서         O                  O
    O          역대기 하            O          아모스                    O              O         데살로니가[까] 후서         O                  O
    O          에스[즈]라           O          오바댜[디야]              O              O         디모데[오] 전서             O                  O
    O          느헤미아             O          요나                      O              O         디모데[오] 후서             O                  O
    O          (토비트)             O          미가                      O              O         디도서                      O                  O
    O          (유딧)               O          나훔                      O              O         빌[필]레몬서                O                  O
    O          에스더[델]           O          하박국[꾹]                O              O         히브리서                    O                  O
    O          (마카베오 상)        O          스바냐[니야]              O              O         야고보서                    O                  O
    O          (마카베오 하)        O          학개[하께]                O              O         베드로 전서                 O                  O
    O             O                 O          스가랴[즈가리아]          O              O         베드로 후서                 O                  O
    O             O                 O          말라기                    O              O         요한 1서                    O                  O
    O             O                 O            O                       O              O         요한 2서                    O                  O
    O             O                 O            O                       O              O         요한 3서                    O                  O
    O             O                 O            O                       O              O         유다서                      O                  O
  ===========================================================================================================================================    O


