전자정보통신 약어정리

 	(‘*’표는 통신에 주로 사용되는 약어임)
+++ 	Escape Sequence, 이스케이프 시퀀스
/MS 	Memory Select signal
/RD 	Read enable signal
/RESET 	Reset enable signal
/WR 	Write enable signal
2B1Q 	2 Binary 1 Quarternary
4B/5B 	4 Binary 5 Binary
4B3T 	4 Binary 3 Ternary
4GL 	4th Generation Language, 제4 세대 언어
5B/4B 	5 Binary 4 Binary
A 	AAAAAAAAAAAA ㅁㅁㅁㅁㅁㅁㅁㅁ
A 	Accumulator, 누산기
A 	Address, 주소
A 	Ammeter, 전류계
A 	Ampere, 암페어
A 	Angstrom, 옹스트롬
A 	Area, 에어리어, 면적
A REG 	A Register, A 레지스터
A-b-S 	Analysis by Synthesis, 합성에 의한 분석
A-CON 	Application Connection, 응용 연결
A-LANGUAGE 	Auxiliary Language, 보조 언어
A-NEW 	A New Project
A-O AMPL 	AND-OR Amplifier, 논리곱-논리합 증폭기
A/D 	Analog to Digital conversion, 아날로그-디지털 변환
A/D 	Analog-to-Digital (converter), 아날로그-디지털 변환기
A/T 	Action Time
A/T 	Automatic Ticketing, 자동 판매기
A20 	Address line 20
AA 	American Airline
AA 	Arithmetic Average, 산술 평균
AA 	ATM Adaptation, ATM 적응
AA 	Audio Amplifier, 오디오 증폭기
AA 	Auto Answer mode, 자동 응답 모드
AAA 	American Accounting Association, 미국 회계 협회
AAA 	American Arbitration Association, 미국 중재 협회
AAAS 	American Association for the Advancement of Science
AAB 	Automatic Alternative Billing*
AABP 	Aptitude Assessment Battery Programming
AACA 	Alarm Access Control Assembly*
AACE 	American Association of Cost Engineers
AACSCEDR 	Associate and Advisory Committee to the Special Committee on Electronic Data Retrieval
AAE 	Automatic Adaptive Equalizer, 자동 적응 등화기
AAL 	Absolute Assembly Language
AAL 	ATM Application Layer, ATM 응용 계층, ATM 적응층, 비동기전송방식적응층, ATM 적응계층
AAL-CP 	AAL Common Part, AAL 공통 부분
AAL-IDU 	AAL - Interface Data Unit, AAL 접면 데이터 단위
AAL-PCI 	ATM Application Layer - Protocol Control Information
AAL-SAP 	ATM Application Layer - Service Access Point, AAL 서비스 접근점
AARP 	AppleTalk Address Resolution Protocol, 애플토크 어드레스 도출 프로토콜
AAS 	Arithmetic Assignment Statement
AAS 	Automated Accounting System
AAU 	Audio Access Unit, 오디오 복호 단위 (MPEG 오디오)
AAVD 	Automatic Alternate Voice/Data
AB 	Address BUS, 주소 버스
ABA 	Adaptive Bit Allocation, 적응 비트 할당
ABAC-II 	A Basic Coursewriter, Version II
ABACUS 	Air Battle Analysis Center Utility System
ABAM 	Adaptive Bidirectional Associative Memory
ABC 	Atanasoff-Berry Computer
ABD 	Abbreviated Dialling*
ABDCR 	Abbreviated Dialing Change Restriction, 단축 다이얼 변경 제한
ABI 	Application Binary Interface, 응용 이진 인터페이스
ABIOS 	Advanced BIOS
ABL 	Atlas Basic Language
ABM 	Asynchronous Balanced in Mode, 비동기 평형 방식
ABM 	Asynchronous Balanced Mode, 비동기 평형 방식, 비동기 평형 모드
ABM 	Automated Batch Mixing
ABn 	Audio Block n
ABO 	Advanced Byte-Oriented
ABR 	Available Bit Rate, 가용 비트율
ABRS 	Automated Book Request System
ABS 	ABSolute
ABS 	Air Bearing Surface 헤드가 디스크와 접촉 (하드디스크)
ABS 	Analysis-by-Synthesis, 합성에 의한 분석법 (음성)
ABU 	Asia-Pacific Broadcasting Union, 아시아-태평양 방송 연합
ABUS 	Address BUS, 주소 버스
ABV 	ABsolute Value, 절대값
AC 	Access Control, 액세스 제어
AC 	ACcumulator, 어큐뮬레이터, 누산기, 축전지
AC 	All Call, 일제 통화
AC 	Alternating Current, 교류
AC 	Application Connection, 응용 연결
AC 	Arithmetic Coding, 산술 부호화 방식
AC 	Assignment Channel, 할당 채널
AC 	Attempt Counter
AC 	Audio Compression
AC 	Authentication Center, 인증 센터
AC-3 	Audio Compression - 3
AC-AC 	Alternating Current-Alternating Current, 교류-교류
AC-DC 	Alternating Current-Direct Current, 교류-직류
ACA 	Adjacent-Channel Attenuation, 인접 채널 감쇠
ACA 	American Communications Association, 미국 통신 협회
ACA 	Automatic Communications Association, 자동 통신 협회
ACAP 	Automatic Circuit Analysis Program, 자동 회로 분석 프로그램
ACATS 	Advisory Committee on Advanced Television Service
ACB 	Access Control Block (IMT-2000)
ACB 	Automatic Call Back*
ACBS 	Accrediting Commission for Business Schools
ACC 	Account Card Calling*
ACC 	Analog Common Card, 아날로그 공통 카드
ACCA 	Analog Common Card Assembly, 아날로그 공통 카드
ACCAP 	Autocoder to COBOL Conversion Aid Program(IBM)
ACCESS 	AirCraft Communication Electronic Signaling System
ACCESS 	Automatic Computer Controlled Electronic Scanning System
ACCF 	Access and Call Control Function
ACCH 	Associated Control Channel
ACCS 	Access Channel Control Software (IMT-2000)
ACCS 	Arithmetic Coding Conditioning Specification, 산술부호화 조건규정 마커
ACCS 	Association of Copyright for Computer Software, 악스, 컴퓨터 소프트웨어 저작권 협회
ACD 	Automatic Call Distribution, 자동 호출 분산
ACD 	Automatic Call Distributor, 자동 호출 분산기
ACDI 	Asynchronous Communications Device Interface, 비동기 통신 장비 인터페이스*
ACDMA 	Asynchronous CDMA, 비동기 CDMA
ACDN 	Administration CDN, 운영 CDN
ACE 	Advanced Computer Environment, 에이스, 구상
ACE 	Asynchronous Communication Element, 비동기 통신 소자*
ACE 	Automatic Calling Equipment, 자동 호출 장치
ACF 	Access Control Field, 액세스 제어 필드*
ACF 	Advanced Communications Function, 확장 통신 기능
ACF 	Area Computing Facilities
ACF 	Authentication Control Function (IMT-2000)
ACF/NCP 	Advanced Communications Function / Network Control Protocol, 네트워크 제어 프로그램 확장 통신 기능*
ACF/VTAM 	Advanced Communications Function / Virtual Telecommunications Access Method
ACFG 	Automatic Classification and Interpretation of Data
ACI 	Adjacent Channel Interference, 인접 채널 간섭
ACI 	ATM Cell Interface
ACIA 	Asynchronous Communications Interface Adapter, 비동기식 통신 인터페이스 어댑터
ACID 	Atomicity, Consistency, Isolation and Durability
ACIS 	Association for Computing and Information Sciences
ACK 	Acknowledge character, 인지
ACK 	Acknowledge, 인지, 긍정 응답
ACK 	Acknowledgment, 수취 통보, 확인 응답
ACL 	Access Control List, 액세스 제어 리스트
ACL 	Applications Control Language
ACL 	Association for Computational Linguistics
ACL 	Atlas Commercial Language
ACLS 	American Council of Learned Societies
ACM 	Access Control Machine, 액세스 제어 기기
ACM 	Address Complete Message
ACM 	Association for Computer Machinery, 미국 컴퓨터 학회
ACM 	Association for Computing Machinery, 미국 컴퓨터 학회
ACM-GAMM 	Association for Computing Machinery/German Association for Applied Mathematics and Mechanics
ACMAC 	ACM Accreditation Committee
ACME 	Advanced Computer for Medical Research
ACME 	Association of Consulting Management Engineers
ACMS 	Army Command Management System
ACMSC 	ACM Standards Committee
ACN 	Active Combine Network
ACNA 	Auerbach Computer Notebook for Accountants
ACO 	Adaptive Control Optimization
ACOM 	Automatic Coding System, 자동 코딩 시스템
ACOPP 	Abbreviated COBOL Preprocessor
ACP 	Access Control Processor (IMT-2000)
ACP 	Advanced Computational Processor (Sylvania)
ACP 	Aerospace Computer Program
ACP 	Alarm Control Processor, 알람 제어 프로세서
ACP 	Articulatory Control Parameter, 조음 제어 파라미터 (음성)
ACPA 	Association of Computer Programmers and Analysists
ACPM 	Association Control Protocol Machine
ACR 	Accumulator Regulator, 누산 조절기
ACR 	Answer Completion Rate, 응답 완료율
ACRE 	Automatic Checkout and Readiness Equipment
ACS 	Accumulator Switch circuit, 누산 교환 회로
ACS 	Add Compare Select
ACS 	Add-Compare-Select
ACS 	Advanced Computer Services (HIS)
ACS 	Advanced Computer System (IBM)
ACS 	American Chemical Society, 미국 화학회
ACS 	Armament Control System, 병기 제어 시스템
ACS 	Assembly Control System (IBM), 어셈블리 제어 시스템
ACS 	ATM Central Switching Subsystem (IMT-2000)
ACS 	Australian Computer Society, 오스트레일리아 컴퓨터학회
ACS 	Auto Correlation Subtraction, 자기상관 차감법 (음성)
ACS 	Automated Communications Set
ACS 	Automatic Checkout System, 자동 점검 시스템
ACS 	Auxiliary Core Storage, 보조 자기 저장매체
ACSE 	Association Control Service Element, 어소시에이션 제어 서비스 요소
ACSE 	Association-Control-Service Element, 결합 제어 서비스 요소*
ACSE 	Association-Control-Service-Element, 결합 제어 서비스 요소
ACSR 	Aluminum Cable Steel Reinforced
