하늘천 따지 검을현 누루황       天地玄黃
집우 집주 넓을홍 거칠황         宇宙洪荒
                                      ?
날일 달월 찰영 기울측           日月盈
별진 잘숙 벌릴렬 베풀장         辰宿列張
찰한 올래 더울서 갈왕           寒來暑往
가을추 거둘수 겨울동 감출장     秋收冬藏
윤달윤 남을여 이룰성 해세       閏餘成歲
법측률 법측여 고를조 볕양       律呂調陽
구름운 오를등 이룰치 비우       雲騰致雨
이슬로 맺을결 할위 서리상       露結爲霜
쇠금 날생 빛날려 물수           金生麗水
구슬옥 날출 메곤 메강           玉出崑岡
칼검 이름호 클거 집궐           劍號巨闕
구슬주 일컬을칭 밤야 빛광       珠稱夜光
과실과 보배진 오얏리 벗내       果珍李柰
나물채 무거울중 겨자개 생강강   菜重芥薑
바다해 짤함 물하 맑을담         海?河淡
비늘린 잠길잠 깃우 날개상       鱗潛羽翔
용룡 스승사 불화 임금제         龍師火帝
새조 벼슬관 사람인 임금황       鳥官人皇
비로소시 지을제 글월문 글자자   始制文字
이에내 옷복 옷의 치마상         乃服衣裳
밀추 자리위 사양양 나라국       推位讓國
있을유 나라우 질그릇도 당나라당 有虞陶唐
조상조 백성민 칠벌 허물죄       弔民伐罪
두루주 필발 나라은 끊을탕       周發殷湯
앉을좌 아침조 물을문 길도       坐朝問道
드리울수 꼬질공 평할평 글장     垂拱平章
사랑애 기를육 검을여 머리수     愛育黎首
신하신 엎드릴복 되융 되강       臣伏戎羌
멀하 가까울이 한일 몸체         遐邇壹體
거느릴솔 손빈 돌아갈귀 임금왕   率賓歸王


울명 새봉 있을재 나무수         鳴鳳在樹
흰백 망아지구 밥식 마당장       白駒食場
조화화 입을피 풀초 나무목       化被草木
힘입을뢰 미칠급 일만만 모방     賴及萬方
덮을개 이차 몸신 터럭발         盖此身髮
넉사 큰대 다섯오 항상상         四大五常
공손공 오직유 칠국 기를양       恭惟鞠養
어찌기 용감할감 헐훼 상할상     豈敢毁傷
계집녀 사모할모 곧을정 매울렬   女慕貞烈
사내남 본받을효 재주재 어질량   男效才良
알지 지날과 반드시필 고칠개     知過必改
얻을득 능할능 말막 잊을망       得能莫忘
없을망 말씀담 저피 짧을단       罔談彼短
쓰러질미 믿을시 몸소기 긴장     靡恃己長
믿을신 사신사 옳을가 덮을복     信使可覆
그릇기 하고자할욕 어려울난 헤아릴량  器欲難量
먹묵 슬플비 실사 물들일염       墨悲絲染
글시 기릴찬 염소고 양양         詩讚羔羊
경치경 다닐행 맬유 어질현       景行維賢
이길극 생각념 지을작 성인성     剋念作聖
큰덕 세울건 이름명 설립         德建名立
얼굴형 끝단 겉표 바를정         形端表正
빌공 골곡 전할전 소리성         空谷傳聲
빌허 집당 익힐습 들을청         虛堂習聽
재화화 인할인 모질악 쌓을적     禍因惡積
복복 인연연 착할선 경사경       福緣善慶
자척 구슬벽 아닐비 보배보       尺璧非寶
마디촌 그늘음 이시 다툴경       寸陰是競
재물자 아버지부 일사 임금군     資父事君
가로왈 엄할엄 더불여 공경할경   曰嚴與敬
효도효 마땅할당 다할갈 힘력     孝當竭力
충성충 법칙측 다할진 목숨명     忠則盡命


임할임 깊을심 밟을리 얇을박     臨深履薄
이를숙 흥할흥 따뜻할온 서늘한청 夙興溫淸
같을사 난초란 이사 향기로울형   似蘭斯馨
같을여 소나무송 갈지 성할성     如松之盛
내천 흐를류 아니불 쉴식         川流不息
못연 맑을징 취할취 비칠영        淵澄取映
얼굴용 그칠지 같을약 생각사     容止若思
말씀언 말씀사 편안안 정할정     言辭安定
도타울독 처음초 정성성 아름다울미   篤初誠美
삼갈신 마지막종 마땅의 하여금령 愼終宜令
영화영 업업 바소 터기           榮業所基
호적적 심할심 없을무 마침내경   籍甚無竟
배울학 넉넉할우 오를등 벼슬사   學優登仕
잡을섭 일직 좇을종 정사정       攝職從政
있을존 써이 달감 아가위당       存以甘棠
갈거 어조사이 더할익 읊을영     去而益詠
풍류악 다를수 귀할귀 천할천     樂殊貴賤
예도예 다를별 높을존 낮을비     禮別尊卑
윗상 화할화 아래하 화목할목     上和下睦
남편부 부를창 며느리부 따를수   夫唱婦隨
밖외 받을수 스승부 가르칠훈     外受傅訓
들입 받들봉 어머니모 거동의     入奉母儀
모두제 할미고 맏백 아저씨숙     諸姑伯叔
같을유 아들자 견줄비 아이아     猶子比兒
구멍공 품을회 맏형 아우제       孔懷兄弟
한가지동 기운기 이을련 가지지   同氣連枝
사귈교 벗우 던질투 나눌분       交友投分
자를절 갈마 경계잠 법규         切磨箴規
어질인 인자할자 숨을은 슬플측   仁慈隱惻
지을조 버금차 말불 떠날리       造次弗離
마디절 옳을의 청렴렴 물러갈퇴   節義廉退
기울어질전 자빠질패 아닐비 이지러질휴 顚沛匪虧


성품성 고요정 뜻정 편할할일     性靜情逸
마음심 움직일동 귀신신 가쁠피   心動神疲
지킬수 참진 뜻지 찰만           守眞志滿
쫓을축 만물물 뜻의 옮길이       逐物意移
